,Unnamed: 0,Unnamed: 0.1,token_id,rule_name,rule_description,prior_feedback,bound_vars,prior_resp,prior_resp_bonan,posterior_feedback,bound_vars_post,post_resp,post_resp_bonan,bn_check
16,21,33,AYXpS,Omega,all are blue OR small,There has to be at least one medium blue cone or one small green cone.,[['x1']],"Z.atleast(lambda x1: Z.or_operator(Z.and_operator(Z.equal(x1,2,'size'),Z.equal(x1,'blue','colour')),Z.and_operator(Z.equal(x1,1,'size'),Z.equal(x1,'green','colour'))),1,X)",bonan's rule,There has to be at least one blue cone of any size or one small green cone.,[['x1']],"Z.atleast(lambda x1: Z.or_operator(Z.equal(x1,'blue','colour'),Z.and_operator(Z.equal(x1,1,'size'),Z.equal(x1,'green','colour'))),1,X)",bonan's rule,0
17,22,34,AYXpS,Zeta,there is a red,There has to be at least one red cone of any size,[['x1']],"Z.atleast(lambda x1: Z.equal(x1, 'red','colour'), 1,X)",bonan's rule,There has to be at least on red cone of any size,[['x1']],"Z.atleast(lambda x1: Z.equal(x1, 'red','colour'), 1,X)",bonan's rule,0
18,23,36,JATf9,Omega,all are blue OR small,There must be at least one blue cone and one green come of any size.,"[['x1'],['x1','x2']]","Z.atleast(lambda x1: Z.atleast(lambda x2: Z.and_operator(Z.equal(x1,'green','colour'),Z.equal(x2,'blue','colour')),1,X),1,X)",bonan's rule,There must be at least one small green cone.,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1,'green','colour'),Z.equal(x1,1,'size')),1,X)",bonan's rule,0
19,24,37,JATf9,Upsilon,none are upright,There must be at least one blue cone that is leaned over.,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1,'blue','colour'),Z.not_operator(Z.equal(x1,'upright','orientation'))),1,X)",bonan's rule,There must be at least one cone tipped onto it's side.,[['x1']],"Z.atleast(lambda x1: Z.not_operator(Z.equal(x1,'upright','orientation')),1,X)",bonan's rule,0
20,25,38,JATf9,Kappa,at least one is blue AND small,There should be at least one small green cone and one small blue cone.,"[['x1'],['x1','x2']]","Z.atleast(lambda x1: Z.atleast(lambda x2: Z.and_operator(Z.and_operator(Z.equal(x1,'green','colour'),Z.equal(x1,1,'size')),Z.and_operator(Z.equal(x2,'blue','colour'),Z.equal(x2,1,'size'))),1,X),1,X)",bonan's rule,There must be at least one small blue cone.,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,1,'size')),1,X)",bonan's rule,1
21,26,39,JATf9,Zeta,there is a red,There should be at least one red cone of any size.,[['x1']],"Z.atleast(lambda x1: Z.equal(x1, 'red','colour'), 1,X)",bonan's rule,There must be at least one red cone of any size in any orientation.,[['x1']],"Z.atleast(lambda x1: Z.equal(x1, 'red','colour'), 1,X)",bonan's rule,0
22,27,40,QgoZL,Zeta,there is a red,There must be at least one red cone.,[['x1']],"Z.atleast(lambda x1: Z.equal(x1, 'red','colour'), 1,X)",bonan's rule,There has to be at least one red.,[['x1']],"Z.atleast(lambda x1: Z.equal(x1, 'red','colour'), 1,X)",bonan's rule,0
23,28,42,QgoZL,Upsilon,none are upright,All cones must be tilted over.,[['x1']],"Z.forall(lambda x1: Z.not_operator(Z.equal(x1,'upright','orientation')), X)",bonan's rule,All cones must be tiled over on their side.,[['x1']],"Z.forall(lambda x1: Z.not_operator(Z.equal(x1,'upright','orientation')), X)",bonan's rule,0
24,29,45,4hBLT,Iota,one is blue,There must be at least one blue cone.,[['x1']],"Z.atleast(lambda x1: Z.equal(x1, 'blue','colour'), 1,X)",bonan's rule,There must be exactly one blue cone.,[['x1']],"Z.exactly(lambda x1: Z.equal(x1, 'blue','colour'), 1,X)",bonan's rule,0
25,30,46,4hBLT,Kappa,at least one is blue AND small,There must be at least one small blue cone.,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1, 'blue','colour'), Z.equal(x1, 1,'size')), 1, X)",bonan's rule,There must be at least one small blue cone.,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1, 'blue','colour'), Z.equal(x1, 1,'size')), 1, X)",bonan's rule,0
26,31,47,4hBLT,Omega,all are blue OR small,There must be at least one small cone of any color.,[['x1']],"Z.atleast(lambda x1: Z.equal(x1, 1,'size'), 1,X)",bonan's rule,There must be at least one blue cone of any size.,[['x1']],"Z.atleast(lambda x1: Z.equal(x1, 'blue','colour'), 1,X)",bonan's rule,0
27,32,48,4hBLT,Upsilon,none are upright,There has to be two red cones touching each other on their sides.,"[['x1'],['x1','x2']]","Z.exists(lambda x1: Z.exactly(lambda x2: Z.and_operator(Z.and_operator(Z.equal(x1,'red','colour'),Z.equal(x2,'red','colour')),Z.hor_operator(x1,x2,'contact')),2,X),X)",bonan's rule,There needs to be two of the same size cones laying on each other's sides.,"[['x1'],['x1','x2']]","Z.exists(lambda x1: Z.exactly(lambda x2: Z.and_operator(Z.equal(x1,x2,'size'),Z.hor_operator(x1,x2,'contact')),2,X),X)",bonan's rule,0
28,33,49,4hBLT,Zeta,there is a red,There must be at least one red cone of any size.,[['x1']],"Z.atleast(lambda x1: Z.equal(x1, 'red','colour'), 1,X)",bonan's rule,There must be at least one red cone of any size.,[['x1']],"Z.atleast(lambda x1: Z.equal(x1, 'red','colour'), 1,X)",bonan's rule,1
29,34,55,tGNdP,Upsilon,none are upright,As long as one or more objects are touching then it will emit radiation.,"[['x1'],['x1','x2']]","Z.exists(lambda x1: Z.exists(lambda x2: Z.hor_operator(x1,x2,'contact'),X),X)",bonan's rule,I feel as though the rule may be as long as there are two reds touching and one other random cone then it will emit radiation.,"[['x1'],['x1','x2']]","Z.exists(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.and_operator(Z.equal(x1,'red','colour'),Z.equal(x2,'red','colour')),Z.hor_operator(x1,x2,'contact')),X),X)",bonan's rule,0
30,35,56,tGNdP,Kappa,at least one is blue AND small,I think you have to have a small blue cone and at least have one other cone bigger than the small blue one.,"[['x1'],['x1','x2']]","Z.exists(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,1,'size')),Z.and_operator(Z.not_operator(Z.equal(x2,'blue','colour')),Z.greater(x2,x1,'size'))),X),X)",bonan's rule,I think it's definitely having a smaller blue cone than one of the other cones that are on the screen.,"[['x1'],['x1','x2']]","Z.exists(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,1,'size')),Z.and_operator(Z.not_operator(Z.equal(x2,'blue','colour')),Z.greater(x2,x1,'size'))),X),X)",bonan's rule,0
31,36,57,tGNdP,Omega,all are blue OR small,I think as long as a smaller green triangle is touching a blue triangle then it emits radiation.,"[['x1'],['x1','x2']]","Z.exists(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.and_operator(Z.equal(x1,'green','colour'),Z.equal(x1,1,'size')),Z.and_operator(Z.equal(x2,'blue','colour'),Z.hor_operator(x1,x2,'contact'))),X),X)",bonan's rule,I'm a little lost on this one but I think as long as there is a large blue cone touching another smaller cone of any color then it should emit radiation.,"[['x1'],['x1','x2']]","Z.exists(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,3,'size')),Z.and_operator(Z.equal(x2,1,'size'),Z.hor_operator(x1,x2,'contact'))),X),X)",bonan's rule,0
32,37,58,tGNdP,Zeta,there is a red,As long as a red cone is touching another cone it will emit radiation.,"[['x1'],['x1','x2']]","Z.exists(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.equal(x1,'red','colour'),Z.and_operator(Z.not_operator(Z.equal(x2,'red','colour')),Z.hor_operator(x1,x2,'contact'))),X),X)",bonan's rule,As long as there is at least one red cone then it will emit radiation.,[['x1']],"Z.exists(lambda x1: Z.equal(x1,'red','colour'),X)",bonan's rule,0
33,38,59,tGNdP,Iota,one is blue,As long as there is a blue triangle then it will emit radiation.,[['x1']],"Z.exists(lambda x1: Z.equal(x1,'blue','colour'),X)",bonan's rule,There can be one and only one blue cone on the screen to emit radiation.,[['x1']],"Z.exactly(lambda x1: Z.equal(x1,'blue','colour'),1,X)",bonan's rule,0
34,39,60,3x2t1,Upsilon,none are upright,One or more small objects that are not standing straight up.,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1,1,'size'),Z.not_operator(Z.equal(x1,'upright','orientation'))),1,X)",bonan's rule,One or more Small objects that are not standing straight up.,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1,1,'size'),Z.not_operator(Z.equal(x1,'upright','orientation'))),1,X)",bonan's rule,0
35,40,61,3x2t1,Iota,one is blue,One or more Blue objects standing straight up.,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,'upright','orientation')),1,X)",bonan's rule,Exactly one blue object standing straight up.,[['x1']],"Z.exactly(lambda x1: Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,'upright','orientation')),1,X)",bonan's rule,0
36,41,62,3x2t1,Zeta,there is a red,One or more red objects facing straight up.,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1,'red','colour'),Z.equal(x1,'upright','orientation')),1,X)",bonan's rule,At least one red object must be present and at least one object must be facing straight up.,"[['x1'],['x1','x2']]","Z.atleast(lambda x1: Z.atleast(lambda x2: Z.and_operator(Z.equal(x1,'red','colour'),Z.equal(x2,'upright','orientation')),1,X),1,X)",bonan's rule,0
37,42,64,3x2t1,Kappa,at least one is blue AND small,There needs to be at least one object of each size.,"[['x1'],['x1','x2'],['x1','x2','x3']]","Z.atleast(lambda x1: Z.atleast(lambda x2: Z.atleast(lambda x3: Z.and_operator(Z.and_operator(Z.equal(x1,1,'size'),Z.equal(x2,2,'size')),Z.equal(x3,3,'size')),1,X),1,X),1,X)",bonan's rule,There must be at least 3 objects of either blue or green.,[['x1']],"Z.atleast(lambda x1: Z.or_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,'green','colour')),3,X)",bonan's rule,0
38,43,65,HSmD4,Iota,one is blue,There has to be only one blue triangle,[['x1']],"Z.exactly(lambda x1: Z.equal(x1,'blue','colour'),1,X)",bonan's rule,There has to be one and only one blue triangle,[['x1']],"Z.exactly(lambda x1: Z.equal(x1,'blue','colour'),1,X)",bonan's rule,0
39,44,66,HSmD4,Kappa,at least one is blue AND small,There has to be a small blue triangle,[['x1']],"Z.exists(lambda x1: Z.and_operator(Z.equal(x1,1,'size'),Z.equal(x1,'blue','colour')),X)",bonan's rule,There has to be at least one small blue triangle,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1,1,'size'),Z.equal(x1,'blue','colour')),1,X)",bonan's rule,0
40,45,67,HSmD4,Omega,all are blue OR small,There has to be either a small triangle or a blue medium triangle.,"[['x1'],['x1','x2']]","Z.exists(lambda x1: Z.exists(lambda x2: Z.or_operator(Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,2,'size')),Z.equal(x2,1,'size')),X),X)",bonan's rule,There has to be only small triangles or a blue triangle,"[['x1'],['x1','x2']]","Z.exists(lambda x1: Z.forall(lambda x2: Z.or_operator(Z.equal(x1,'blue','colour'),Z.equal(x2,1,'size')),X),X)",bonan's rule,0
41,46,68,HSmD4,Zeta,there is a red,There has to be at least one red triangle,[['x1']],"Z.atleast(lambda x1: Z.equal(x1,'red','colour'),1,X)",bonan's rule,There has to be at least one red triangle,[['x1']],"Z.atleast(lambda x1: Z.equal(x1,'red','colour'),1,X)",bonan's rule,0
42,47,69,HSmD4,Upsilon,none are upright,There has to be at least one triangle on its side,[['x1']],"Z.atleast(lambda x1: Z.not_operator(Z.equal(x1,'upright','orientation')),1,X)",bonan's rule,There has to be at least one triangle on its side and no other triangle standing upright,[['x1']],"Z.atleast(lambda x1: Z.forall(lambda x2: Z.and_operator(Z.not_operator(Z.equal(x1,'upright','orientation')),Z.not_operator(Z.equal(x2,'upright','orientation'))),X),1,X)",bonan's rule,0
43,48,76,seghl,Iota,one is blue,little green triangles,[['x1']],"Z.exists(lambda x1: Z.and_operator(Z.equal(x1,1,'size'),Z.equal(x1,'green','colour')),X)",bonan's rule,There has to be a little green triangle,[['x1']],"Z.exists(lambda x1: Z.and_operator(Z.equal(x1,1,'size'),Z.equal(x1,'green','colour')),X)",bonan's rule,0
44,49,79,seghl,Omega,all are blue OR small,There needs to be 2 green and a blue,"[['x1'],['x1','x2']]","Z.exactly(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.equal(x1,'green','colour'),Z.equal(x2,'blue','colour')),X),2,X)",bonan's rule,There needs to be 2 green for a blue,"[['x1'],['x1','x2']]","Z.exactly(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.equal(x1,'green','colour'),Z.equal(x2,'blue','colour')),X),2,X)",bonan's rule,1
45,50,80,9cMOT,Zeta,there is a red,There must be at least one red cone,[['x1']],"Z.atleast(lambda x1: Z.equal(x1,'red','colour'),1,X)",bonan's rule,cannot think of any other rule that could be true,[['x1']],"Z.atleast(lambda x1: Z.equal(x1,'red','colour'),1,X)",bonan's rule,1
46,51,81,9cMOT,Omega,all are blue OR small,There must be at least one blue or green cone,[['x1']],"Z.atleast(lambda x1: Z.or_operator(Z.equal(x1,'green','colour'), Z.equal(x1,'blue','colour')),1,X)",bonan's rule,There must be at least one small cone,[['x1']],"Z.atleast(lambda x1: Z.equal(x1,1,'size'),1,X)",bonan's rule,0
47,52,83,9cMOT,Iota,one is blue,There must be at least but no more than two cones touching,"[['x1'],['x1','x2']]","Z.atmost(lambda x1: Z.exists(lambda x2: Z.hor_operator(x1,x2,'contact'),X),2,X)",bonan's rule,cannot think of any rule that could be true,"[['x1'],['x1','x2']]","Z.atmost(lambda x1: Z.exists(lambda x2: Z.hor_operator(x1,x2,'contact'),X),2,X)",bonan's rule,1
48,53,84,9cMOT,Kappa,at least one is blue AND small,There must be at least one red large cone ,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1,'red','colour'),Z.equal(x1,3,'size')),1,X)",bonan's rule,There has to be at least one green cone larger than any blue cone ,"[['x1'],['x1','x2']]","Z.atleast(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.and_operator(Z.equal(x1,'green','colour'),Z.equal(x2,'blue','colour')),Z.greater(x1,x2,'size')),X),1,X)",bonan's rule,1
49,54,85,jUCAC,Zeta,there is a red,there must be atleast one red cone and no blue cones.,"[['x1'],['x1','x2']]","Z.atleast(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.equal(x1,'red','colour'),Z.not_operator(Z.equal(x2,'blue','colour'))),X),1,X)",bonan's rule,There must be atleast one red cone,[['x1']],"Z.atleast(lambda x1: Z.equal(x1,'red','colour'),1,X)",bonan's rule,1
50,55,86,jUCAC,Omega,all are blue OR small,There has to be atleast one cone touching a blue cone.,"[['x1'],['x1','x2']]","Z.atleast(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.and_operator(Z.equal(x1,'blue','colour'),Z.not_operator(Z.equal(x2,'blue','colour'))),Z.hor_operator(x1,x2,'contact')),X),1,X)",bonan's rule,There must be atleast one blue cone and it has to be touched by a smaller cone.,"[['x1'],['x1','x2']]","Z.atleast(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.and_operator(Z.equal(x1,'blue','colour'),Z.and_operator(Z.not_operator(Z.equal(x2,'blue','colour')),Z.less(x2,x1,'size'))),Z.hor_operator(x1,x2,'contact')),X),1,X)",bonan's rule,0
51,56,87,jUCAC,Upsilon,none are upright,No more than two red cones should be touching,"[['x1'],['x1','x2']]","Z.exactly(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.and_operator(Z.equal(x1,'red','colour'),Z.equal(x2,'red','colour')), Z.hor_operator(x1,x2,'contact')),X),2,X)",bonan's rule,There has to be two red cones touching each other with one leaning to the right.,"[['x1'],['x1','x2']]","Z.exactly(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.and_operator(Z.and_operator(Z.equal(x1,'red','colour'),Z.not_operator(Z.equal(x1,'upright','orientation'))),Z.equal(x2,'red','colour')), Z.hor_operator(x1,x2,'contact')),X),2,X)",bonan's rule,0
52,57,88,jUCAC,Iota,one is blue,There has to be three different colored cones.,"[['x1'],['x1','x2'],['x1','x2','x3']]","Z.exists(lambda x1: Z.exists(lambda x2: Z.exists(lambda x3: Z.and_operator(Z.and_operator(Z.equal(x1,'green','colour'),Z.equal(x2,'blue','colour')),Z.equal(x3,'red','colour')),X),X),X)",bonan's rule,Red cones are not neccesary but atleast two cones have to touch.,"[['x1'],['x1','x2']]","Z.exists(lambda x1: Z.exists(lambda x2: Z.hor_operator(x1,x2,'contact'),X),X)",bonan's rule,0
53,58,90,6jBfW,Upsilon,none are upright,"There must be at least 1 red cone and 1 blue cone, and the red cone must be larger than the blue. All cones need to be tilted. ","[['x1'],['x1','x2'],['x1','x2','x3']]","Z.forall(lambda x1: Z.atleast(lambda x2: Z.atleast(lambda x3: Z.and_operator(Z.and_operator(Z.and_operator(Z.equal(x2,'red','colour'),Z.equal(x3,'blue','colour')),Z.greater(x2,x3,'size')),Z.not_operator(Z.equal(x1,'upright','orientation'))),1,X),1,X),X)",bonan's rule,There must be at least 2 red cones and 1 blue cone and the red cones must be larger. All cones must also be tilted. ,"[['x1'],['x1','x2'],['x1','x2','x3']]","Z.forall(lambda x1: Z.atleast(lambda x2: Z.atleast(lambda x3: Z.and_operator(Z.and_operator(Z.and_operator(Z.equal(x2,'red','colour'),Z.equal(x3,'blue','colour')),Z.greater(x2,x3,'size')),Z.not_operator(Z.equal(x1,'upright','orientation'))),2,X),1,X),X)",bonan's rule,0
54,59,91,6jBfW,Omega,all are blue OR small,There must be at least one blue cone and it has to be larger than any other cone placed with it. The blue cone must remain upright. ,"[['x1'],['x1','x2']]","Z.atleast(lambda x1: Z.atleast(lambda x2: Z.and_operator(Z.and_operator(Z.equal(x1,'blue','colour'),Z.greater(x1,x2,'size')),Z.equal(x1,'upright','orientation')),1,X),1,X)",bonan's rule,There must be at least 1 blue cone and it must be the largest cone. The bone cone must remain upright. ,"[['x1'],['x1','x2']]","Z.atleast(lambda x1: Z.atleast(lambda x2: Z.and_operator(Z.and_operator(Z.equal(x1,'blue','colour'),Z.greater(x1,x2,'size')),Z.equal(x1,'upright','orientation')),1,X),1,X)",bonan's rule,0
55,61,95,P7FU1,Kappa,at least one is blue AND small,There must be at least one large green triangle.,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1,'green','colour'),Z.equal(x1,3,'size')),1,X)",bonan's rule,There must be a green triangle and all triangles must be upright.,"[['x1'],['x1','x2']]","Z.exists(lambda x1: Z.forall(lambda x2: Z.and_operator(Z.equal(x1,'green','colour'),Z.equal(x2,'upright','orientation')),X),X)",bonan's rule,0
56,62,96,P7FU1,Iota,one is blue,Two large triangles must be touching.,"[['x1'],['x1','x2']]","Z.exactly(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.and_operator(Z.equal(x1,3,'size'),Z.equal(x2,3,'size')), Z.hor_operator(x1,x2,'contact')),X),2,X)",bonan's rule,A triangle must be touching a blue triangle.,"[['x1'],['x1','x2']]","Z.exists(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.equal(x1,'blue','colour'), Z.hor_operator(x1,x2,'contact')),X),X)",bonan's rule,0
57,63,98,P7FU1,Zeta,there is a red,Triangles must be touching red triangle,"[['x1'],['x1','x2']]","Z.exactly(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.and_operator(Z.equal(x1,'red','colour'),Z.not_operator(Z.equal(x2,'red','colour'))), Z.hor_operator(x1,x2,'contact')),X),2,X)",bonan's rule,Triangles must be touching a red colored triangle at all times,"[['x1'],['x1','x2']]","Z.exists(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.and_operator(Z.equal(x1,'red','colour'),Z.not_operator(Z.equal(x2,'red','colour'))), Z.hor_operator(x1,x2,'contact')),X),X)",bonan's rule,0
58,64,101,HMsR4,Kappa,at least one is blue AND small,Kappa radiation is emitted by only small sized blue cones.,[['x1']],"Z.exists(lambda x1: Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,1,'size')),X)",bonan's rule,Small blue cones emit Kappa radiation regardless of orientation or if touched by another cone color. A small blue cone could be completely encapsulated by another colored cone and it will still emit Kappa radiation. ,[['x1']],"Z.exists(lambda x1: Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,1,'size')),X)",bonan's rule,0
