,Unnamed: 0,room,token_id,rule_name,rule_description,prior_feedback,bound_vars,prior_resp,prior_resp_bonan,posterior_feedback,bound_vars_post,post_resp,post_resp_bonan,bn_check
42,71,spw4MmLRO4,JT7ZAB7dPEXbWM9KAAAF,Kappa,at least one is blue AND small,I am not sure on this one.  The only consistency I had was the medium green and blue together.,"[['x1'],['x1','x2']]","Z.exists(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,2,'size')),Z.and_operator(Z.equal(x1,'green','colour'),Z.equal(x2,2,'size'))),X),X)",bonan's rule,I went with the green and blue touching each other being the cause of radiation.,"[['x1'],['x1','x2']]","Z.exists(lambda x1: Z.exists(lambda x2: Z.and_operator(Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x2,'green','colour')),Z.hor_operator(x1,x2,'contact')),X),X)",bonan's rule,0
43,72,spw4MmLRO4,JT7ZAB7dPEXbWM9KAAAF,Upsilon,none are upright,"Red making contact makes radiation, but any other colors present will negate it.","[['x1'],['x1','x2'],['x1','x2','x3']]","Z.exists(lambda x1: Z.exists(lambda x2: Z.forall(lambda x3: Z.and_operator(Z.and_operator(Z.and_operator(Z.equal(x1,'red','colour'),Z.equal(x2,'red','colour')),Z.hor_operator(x1,x2,'contact')),Z.not_operator(Z.or_operator(Z.equal(x3,'blue','colour'),Z.equal(x3,'green','colour')))),X),X),X)",bonan's rule,"Red touching each other will emit, but if any other colors are present it will not.","[['x1'],['x1','x2'],['x1','x2','x3']]","Z.exists(lambda x1: Z.exists(lambda x2: Z.forall(lambda x3: Z.and_operator(Z.and_operator(Z.and_operator(Z.equal(x1,'red','colour'),Z.equal(x2,'red','colour')),Z.hor_operator(x1,x2,'contact')),Z.not_operator(Z.or_operator(Z.equal(x3,'blue','colour'),Z.equal(x3,'green','colour')))),X),X),X)",bonan's rule,0
44,73,spw4MmLRO4,JT7ZAB7dPEXbWM9KAAAF,Omega,all are blue OR small,Blue by itself emits radiation,[['x1']],"Z.exists(lambda x1: Z.equal(x1,'blue','colour'),X)",bonan's rule,"Blue alone emits radation, no other color can be present",[['x1']],"Z.forall(lambda x1: Z.equal(x1,'blue','colour'),X)",bonan's rule,0
45,74,spw4MmLRO4,JT7ZAB7dPEXbWM9KAAAF,Zeta,there is a red,If red is present it will emit radiation,[['x1']],"Z.exists(lambda x1: Z.equal(x1,'red','colour'),X)",bonan's rule,Red is present = radiation,[['x1']],"Z.exists(lambda x1: Z.equal(x1,'red','colour'),X)",bonan's rule,0
46,75,spw4MmLRO4,qTHpztkVBSdBm_UZAAAE,Iota,one is blue,There must be one cone of each color.,"[['x1'],['x1','x2'],['x1','x2','x3']]","Z.exists(lambda x1: Z.exists(lambda x2: Z.exists(lambda x3: Z.and_operator(Z.and_operator(Z.equal(x1,'red','colour'),Z.equal(x2,'blue','colour')),Z.equal(x3,'green','colour')),X),X),X)",bonan's rule,There must be one of each color.,"[['x1'],['x1','x2'],['x1','x2','x3']]","Z.exists(lambda x1: Z.exists(lambda x2: Z.exists(lambda x3: Z.and_operator(Z.and_operator(Z.equal(x1,'red','colour'),Z.equal(x2,'blue','colour')),Z.equal(x3,'green','colour')),X),X),X)",bonan's rule,0
47,76,spw4MmLRO4,qTHpztkVBSdBm_UZAAAE,Kappa,at least one is blue AND small,There must be at least one small blue cone.,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,1,'size')),1,X)",bonan's rule,There must be at least one small blue cone.,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,1,'size')),1,X)",bonan's rule,0
48,77,spw4MmLRO4,qTHpztkVBSdBm_UZAAAE,Upsilon,none are upright,There must be a big red cone.,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1,'red','colour'),Z.equal(x1,3,'size')),1,X)",bonan's rule,There must be big red cone.,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1,'red','colour'),Z.equal(x1,3,'size')),1,X)",bonan's rule,0
49,78,spw4MmLRO4,qTHpztkVBSdBm_UZAAAE,Omega,all are blue OR small,There must be one big blue cone.,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,3,'size')),1,X)",bonan's rule,There must be one big blue cone.,[['x1']],"Z.atleast(lambda x1: Z.and_operator(Z.equal(x1,'blue','colour'),Z.equal(x1,3,'size')),1,X)",bonan's rule,1
50,79,spw4MmLRO4,qTHpztkVBSdBm_UZAAAE,Zeta,there is a red,There must be a big red cone.,[['x1']],"Z.exists(lambda x1: Z.and_operator(Z.equal(x1,'red','colour'),Z.equal(x1,3,'size')),X)",bonan's rule,There must be red cone.,[['x1']],"Z.exists(lambda x1: Z.equal(x1,'red','colour'),X)",bonan's rule,0
51,80,fMxwrGzBgz,J2g8DxowwOB-gkR8AAAM,Kappa,at least one is blue AND small,There must be more than one blue cone in the arrangement.,[['x1']],"Z.atleast(lambda x1: Z.equal(x1,'blue','colour'),2,X)",bonan's rule,There must be at least two blue cones in the arrangement.,[['x1']],"Z.atleast(lambda x1: Z.equal(x1,'blue','colour'),2,X)",bonan's rule,1
